* Measurement data measured by REW V5.30.9
* Source: B to A at 200 Hz Filtered
* Format: 
* Dated: Mar 12, 2024 9:59:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic B to A at 200 Hz A = Antdroid IE v1.3 B = Harman2019_IE B was scaled by 0.1 dB  PK       Fc   20.00 Hz  Gain   3.00 dB  Q  0.600 PK       Fc    1500 Hz  Gain  -0.50 dB  Q  1.000 PK       Fc    3709 Hz  Gain  -1.00 dB  Q  0.700
* Measurement: Bassdroid
* Smoothing: None
* Frequency Step: 0.24999999 Hz
* Start Frequency: 20.187378 Hz
*
* Freq(Hz) SPL(dB)
126.187372 77.218
126.437372 77.205
126.687372 77.192
126.937372 77.180
127.187372 77.167
127.437372 77.154
127.687372 77.142
127.937372 77.129
128.187371 77.117
128.437371 77.104
128.687371 77.091
128.937371 77.079
129.187371 77.066
129.437371 77.054
129.687371 77.042
129.937371 77.029
130.187371 77.017
130.437371 77.005
130.687371 76.992
130.937371 76.980
131.187371 76.968
131.437371 76.955
131.687371 76.943
131.937371 76.931
132.187371 76.919
132.437371 76.907
132.687371 76.895
132.937371 76.883
133.187371 76.871
133.437371 76.859
133.687371 76.847
133.937371 76.835
134.187371 76.823
134.437371 76.811
134.687371 76.799
134.937371 76.787
135.187371 76.775
135.437371 76.764
135.687371 76.752
135.937371 76.740
136.187371 76.728
136.437371 76.717
136.687371 76.705
136.937371 76.694
137.187371 76.682
137.437371 76.670
137.687371 76.659
137.937371 76.647
138.187371 76.636
138.437371 76.624
138.687371 76.613
138.937371 76.602
139.187371 76.590
139.437371 76.579
139.687371 76.567
139.937371 76.556
140.187371 76.545
140.437371 76.534
140.687371 76.522
140.937371 76.511
141.187371 76.500
141.437371 76.489
141.687371 76.478
141.937371 76.467
142.187371 76.456
142.437371 76.445
142.687371 76.434
142.937371 76.423
143.187371 76.412
143.437371 76.401
143.687371 76.390
143.937371 76.379
144.187371 76.368
144.437371 76.357
144.687371 76.346
144.937370 76.336
145.187370 76.325
145.437370 76.314
145.687370 76.303
145.937370 76.293
146.187370 76.282
146.437370 76.272
146.687370 76.261
146.937370 76.250
147.187370 76.240
147.437370 76.229
147.687370 76.219
147.937370 76.208
148.187370 76.198
148.437370 76.188
148.687370 76.177
148.937370 76.167
149.187370 76.156
149.437370 76.146
149.687370 76.136
149.937370 76.126
150.187370 76.115
150.437370 76.105
150.687370 76.095
150.937370 76.085
151.187370 76.075
151.437370 76.065
151.687370 76.055
151.937370 76.045
152.187370 76.035
152.437370 76.025
152.687370 76.015
152.937370 76.005
153.187370 75.995
153.437370 75.986
153.687370 75.976
153.937370 75.966
154.187370 75.956
154.437370 75.947
154.687370 75.937
154.937370 75.927
155.187370 75.918
155.437370 75.908
155.687370 75.899
155.937370 75.889
156.187370 75.880
156.437370 75.870
156.687370 75.861
156.937370 75.851
157.187370 75.842
157.437370 75.832
157.687370 75.823
157.937370 75.814
158.187370 75.804
158.437370 75.795
158.687370 75.786
158.937370 75.775
159.187370 75.764
159.437370 75.754
159.687370 75.743
159.937370 75.732
160.187370 75.722
160.437370 75.711
160.687370 75.701
160.937370 75.690
161.187370 75.680
161.437370 75.669
161.687369 75.659
161.937369 75.649
162.187369 75.639
162.437369 75.629
162.687369 75.619
162.937369 75.609
163.187369 75.599
163.437369 75.589
163.687369 75.579
163.937369 75.569
164.187369 75.559
164.437369 75.550
164.687369 75.540
164.937369 75.530
165.187369 75.521
165.437369 75.511
165.687369 75.502
165.937369 75.492
166.187369 75.483
166.437369 75.474
166.687369 75.464
166.937369 75.455
167.187369 75.446
167.437369 75.437
167.687369 75.428
167.937369 75.419
168.187369 75.410
168.437369 75.401
168.687369 75.392
168.937369 75.383
169.187369 75.374
169.437369 75.366
169.687369 75.357
169.937369 75.348
170.187369 75.340
170.437369 75.331
170.687369 75.323
170.937369 75.314
171.187369 75.306
171.437369 75.297
171.687369 75.289
171.937369 75.281
172.187369 75.273
172.437369 75.264
172.687369 75.256
172.937369 75.248
173.187369 75.240
173.437369 75.232
173.687369 75.224
173.937369 75.216
174.187369 75.208
174.437369 75.200
174.687369 75.192
174.937369 75.185
175.187369 75.177
175.437369 75.169
175.687369 75.162
175.937369 75.154
176.187369 75.146
176.437369 75.139
176.687369 75.131
176.937369 75.124
177.187369 75.117
177.437369 75.109
177.687369 75.102
177.937369 75.095
178.187369 75.087
178.437368 75.080
178.687368 75.073
178.937368 75.066
179.187368 75.059
179.437368 75.052
179.687368 75.045
179.937368 75.038
180.187368 75.031
180.437368 75.024
180.687368 75.017
180.937368 75.010
181.187368 75.004
181.437368 74.997
181.687368 74.990
181.937368 74.984
182.187368 74.977
182.437368 74.970
182.687368 74.964
182.937368 74.957
183.187368 74.951
183.437368 74.944
183.687368 74.938
183.937368 74.932
184.187368 74.925
184.437368 74.919
184.687368 74.913
184.937368 74.907
185.187368 74.900
185.437368 74.894
185.687368 74.888
185.937368 74.882
186.187368 74.876
186.437368 74.870
186.687368 74.864
186.937368 74.858
187.187368 74.852
187.437368 74.846
187.687368 74.841
187.937368 74.835
188.187368 74.829
188.437368 74.823
188.687368 74.818
188.937368 74.812
189.187368 74.806
189.437368 74.801
189.687368 74.795
189.937368 74.790
190.187368 74.784
190.437368 74.779
190.687368 74.773
190.937368 74.768
191.187368 74.763
191.437368 74.757
191.687368 74.752
191.937368 74.747
192.187368 74.741
192.437368 74.736
192.687368 74.731
192.937368 74.726
193.187368 74.721
193.437368 74.716
193.687368 74.711
193.937368 74.706
194.187368 74.701
194.437368 74.696
194.687368 74.691
194.937368 74.686
195.187367 74.681
195.437367 74.676
195.687367 74.672
195.937367 74.667
196.187367 74.662
196.437367 74.657
196.687367 74.653
196.937367 74.648
197.187367 74.644
197.437367 74.639
197.687367 74.634
197.937367 74.630
198.187367 74.625
198.437367 74.621
198.687367 74.617
198.937367 74.612
199.187367 74.608
199.437367 74.604
199.687367 74.599
199.937367 74.595
200.187367 74.591
200.437367 74.587
200.687367 74.583
200.937367 74.579
201.187367 74.575
201.437367 74.571
201.687367 74.567
201.937367 74.563
202.187367 74.559
202.437367 74.555
202.687367 74.551
202.937367 74.547
203.187367 74.544
203.437367 74.540
203.687367 74.536
203.937367 74.532
204.187367 74.529
204.437367 74.525
204.687367 74.521
204.937367 74.518
205.187367 74.514
205.437367 74.511
205.687367 74.507
205.937367 74.504
206.187367 74.500
206.437367 74.497
206.687367 74.493
206.937367 74.490
207.187367 74.487
207.437367 74.483
207.687367 74.480
207.937367 74.477
208.187367 74.474
208.437367 74.470
208.687367 74.467
208.937367 74.464
209.187367 74.461
209.437367 74.458
209.687367 74.455
209.937367 74.451
210.187367 74.448
210.437367 74.445
210.687367 74.442
210.937367 74.439
211.187367 74.436
211.437367 74.434
211.687367 74.431
211.937367 74.428
212.187366 74.425
212.437366 74.422
212.687366 74.419
212.937366 74.416
213.187366 74.414
213.437366 74.411
213.687366 74.408
213.937366 74.405
214.187366 74.403
214.437366 74.400
214.687366 74.397
214.937366 74.395
215.187366 74.392
215.437366 74.390
215.687366 74.387
215.937366 74.385
216.187366 74.382
216.437366 74.380
216.687366 74.377
216.937366 74.375
217.187366 74.372
217.437366 74.370
217.687366 74.367
217.937366 74.365
218.187366 74.363
218.437366 74.360
218.687366 74.358
218.937366 74.356
219.187366 74.353
219.437366 74.351
219.687366 74.349
219.937366 74.346
220.187366 74.344
220.437366 74.342
220.687366 74.340
220.937366 74.338
221.187366 74.335
221.437366 74.333
221.687366 74.331
221.937366 74.329
222.187366 74.327
222.437366 74.325
222.687366 74.323
222.937366 74.321
223.187366 74.319
223.437366 74.317
223.687366 74.315
223.937366 74.313
224.187366 74.311
224.437366 74.309
224.687366 74.307
224.937366 74.305
225.187366 74.303
225.437366 74.301
225.687366 74.299
225.937366 74.297
226.187366 74.296
226.437366 74.294
226.687366 74.292
226.937366 74.290
227.187366 74.288
227.437366 74.287
227.687366 74.285
227.937366 74.283
228.187366 74.281
228.437366 74.280
228.687366 74.278
228.937365 74.276
229.187365 74.274
229.437365 74.273
229.687365 74.271
229.937365 74.269
230.187365 74.268
230.437365 74.266
230.687365 74.264
230.937365 74.263
231.187365 74.261
231.437365 74.260
231.687365 74.258
231.937365 74.256
232.187365 74.255
232.437365 74.253
232.687365 74.252
232.937365 74.250
233.187365 74.249
233.437365 74.247
233.687365 74.246
233.937365 74.244
234.187365 74.243
234.437365 74.241
234.687365 74.240
234.937365 74.238
235.187365 74.237
235.437365 74.235
235.687365 74.234
235.937365 74.233
236.187365 74.231
236.437365 74.230
236.687365 74.228
236.937365 74.227
237.187365 74.226
237.437365 74.224
237.687365 74.223
237.937365 74.222
238.187365 74.220
238.437365 74.219
238.687365 74.218
238.937365 74.216
239.187365 74.215
239.437365 74.214
239.687365 74.212
239.937365 74.211
240.187365 74.210
240.437365 74.208
240.687365 74.207
240.937365 74.206
241.187365 74.205
241.437365 74.203
241.687365 74.202
241.937365 74.201
242.187365 74.200
242.437365 74.198
242.687365 74.197
242.937365 74.196
243.187365 74.195
243.437365 74.193
243.687365 74.192
243.937365 74.191
244.187365 74.190
244.437365 74.189
244.687365 74.187
244.937365 74.186
245.187365 74.185
245.437365 74.184
245.687364 74.183
245.937364 74.182
246.187364 74.180
246.437364 74.179
246.687364 74.178
246.937364 74.177
247.187364 74.176
247.437364 74.175
247.687364 74.174
247.937364 74.173
248.187364 74.172
248.437364 74.171
248.687364 74.169
248.937364 74.168
249.187364 74.167
249.437364 74.166
249.687364 74.165
249.937364 74.164
250.187364 74.163
250.437364 74.162
250.687364 74.161
250.937364 74.160
251.187364 74.159
251.437364 74.158
251.687364 74.157
251.937364 74.156
252.187364 74.155
252.437364 74.153
252.687364 74.152
252.937364 74.151
253.187364 74.149
253.437364 74.148
253.687364 74.147
253.937364 74.146
254.187364 74.144
254.437364 74.143
254.687364 74.142
254.937364 74.141
255.187364 74.139
255.437364 74.138
255.687364 74.137
255.937364 74.136
256.187364 74.134
256.437364 74.133
256.687364 74.132
256.937364 74.131
257.187364 74.130
257.437364 74.128
257.687364 74.127
257.937364 74.126
258.187364 74.125
258.437364 74.124
258.687364 74.122
258.937364 74.121
259.187364 74.120
259.437364 74.119
259.687364 74.118
259.937364 74.117
260.187364 74.115
260.437364 74.114
260.687364 74.113
260.937364 74.112
261.187364 74.111
261.437364 74.110
261.687364 74.109
261.937364 74.108
262.187364 74.107
262.437363 74.105
262.687363 74.104
262.937363 74.103
263.187363 74.102
263.437363 74.101
263.687363 74.100
263.937363 74.099
264.187363 74.098
264.437363 74.097
264.687363 74.096
264.937363 74.095
265.187363 74.094
265.437363 74.093
265.687363 74.092
265.937363 74.091
266.187363 74.089
266.437363 74.088
266.687363 74.087
266.937363 74.086
267.187363 74.085
267.437363 74.084
267.687363 74.083
267.937363 74.082
268.187363 74.081
268.437363 74.080
268.687363 74.079
268.937363 74.078
269.187363 74.077
269.437363 74.076
269.687363 74.075
269.937363 74.075
270.187363 74.074
270.437363 74.073
270.687363 74.072
270.937363 74.071
271.187363 74.070
271.437363 74.069
271.687363 74.068
271.937363 74.067
272.187363 74.066
272.437363 74.065
272.687363 74.064
272.937363 74.063
273.187363 74.062
273.437363 74.061
273.687363 74.060
273.937363 74.060
274.187363 74.059
274.437363 74.058
274.687363 74.057
274.937363 74.056
275.187363 74.055
275.437363 74.054
275.687363 74.053
275.937363 74.052
276.187363 74.051
276.437363 74.051
276.687363 74.050
276.937363 74.049
277.187363 74.048
277.437363 74.047
277.687363 74.046
277.937363 74.045
278.187363 74.045
278.437363 74.044
278.687363 74.043
278.937363 74.042
279.187362 74.041
279.437362 74.040
279.687362 74.039
279.937362 74.039
280.187362 74.038
280.437362 74.037
280.687362 74.036
280.937362 74.035
281.187362 74.034
281.437362 74.034
281.687362 74.033
281.937362 74.032
282.187362 74.031
282.437362 74.030
282.687362 74.030
282.937362 74.029
283.187362 74.028
283.437362 74.027
283.687362 74.026
283.937362 74.026
284.187362 74.025
284.437362 74.024
284.687362 74.023
284.937362 74.022
285.187362 74.022
285.437362 74.021
285.687362 74.020
285.937362 74.019
286.187362 74.018
286.437362 74.018
286.687362 74.017
286.937362 74.016
287.187362 74.015
287.437362 74.015
287.687362 74.014
287.937362 74.013
288.187362 74.012
288.437362 74.011
288.687362 74.011
288.937362 74.010
289.187362 74.009
289.437362 74.008
289.687362 74.008
289.937362 74.007
290.187362 74.006
290.437362 74.005
290.687362 74.005
290.937362 74.004
291.187362 74.003
291.437362 74.002
291.687362 74.002
291.937362 74.001
292.187362 74.000
292.437362 73.999
292.687362 73.999
292.937362 73.998
293.187362 73.997
293.437362 73.997
293.687362 73.996
293.937362 73.995
294.187362 73.994
294.437362 73.994
294.687362 73.993
294.937362 73.992
295.187362 73.991
295.437362 73.991
295.687362 73.990
295.937361 73.989
296.187361 73.989
296.437361 73.988
296.687361 73.987
296.937361 73.986
297.187361 73.986
297.437361 73.985
297.687361 73.984
297.937361 73.984
298.187361 73.983
298.437361 73.982
298.687361 73.981
298.937361 73.981
299.187361 73.980
299.437361 73.979
299.687361 73.979
299.937361 73.978
300.187361 73.977
300.437361 73.976
300.687361 73.976
300.937361 73.975
301.187361 73.974
301.437361 73.974
301.687361 73.973
301.937361 73.972
302.187361 73.972
302.437361 73.971
302.687361 73.970
302.937361 73.970
303.187361 73.969
303.437361 73.968
303.687361 73.968
303.937361 73.967
304.187361 73.966
304.437361 73.965
304.687361 73.965
304.937361 73.964
305.187361 73.963
305.437361 73.963
305.687361 73.962
305.937361 73.961
306.187361 73.961
306.437361 73.960
306.687361 73.959
306.937361 73.959
307.187361 73.958
307.437361 73.957
307.687361 73.957
307.937361 73.956
308.187361 73.955
308.437361 73.955
308.687361 73.954
308.937361 73.953
309.187361 73.953
309.437361 73.952
309.687361 73.952
309.937361 73.951
310.187361 73.950
310.437361 73.950
310.687361 73.949
310.937361 73.948
311.187361 73.948
311.437361 73.947
311.687361 73.946
311.937361 73.946
312.187361 73.945
312.437361 73.944
312.687360 73.944
312.937360 73.943
313.187360 73.943
313.437360 73.942
313.687360 73.941
313.937360 73.941
314.187360 73.940
314.437360 73.939
314.687360 73.939
314.937360 73.938
315.187360 73.938
315.437360 73.937
315.687360 73.936
315.937360 73.936
316.187360 73.935
316.437360 73.934
316.687360 73.934
316.937360 73.933
317.187360 73.933
317.437360 73.932
317.687360 73.931
317.937360 73.931
318.187360 73.930
318.437360 73.930
318.687360 73.929
318.937360 73.928
319.187360 73.928
319.437360 73.927
319.687360 73.927
319.937360 73.926
320.187360 73.925
320.437360 73.925
320.687360 73.924
320.937360 73.924
321.187360 73.923
321.437360 73.923
321.687360 73.922
321.937360 73.921
322.187360 73.921
322.437360 73.920
322.687360 73.920
322.937360 73.919
323.187360 73.919
323.437360 73.918
323.687360 73.917
323.937360 73.917
324.187360 73.916
324.437360 73.916
324.687360 73.915
324.937360 73.915
325.187360 73.914
325.437360 73.914
325.687360 73.913
325.937360 73.913
326.187360 73.912
326.437360 73.911
326.687360 73.911
326.937360 73.910
327.187360 73.910
327.437360 73.909
327.687360 73.909
327.937360 73.908
328.187360 73.908
328.437360 73.907
328.687360 73.907
328.937360 73.906
329.187360 73.906
329.437359 73.905
329.687359 73.905
329.937359 73.904
330.187359 73.904
330.437359 73.903
330.687359 73.903
330.937359 73.902
331.187359 73.902
331.437359 73.901
331.687359 73.901
331.937359 73.900
332.187359 73.900
332.437359 73.899
332.687359 73.899
332.937359 73.898
333.187359 73.898
333.437359 73.897
333.687359 73.897
333.937359 73.896
334.187359 73.896
334.437359 73.895
334.687359 73.895
334.937359 73.895
335.187359 73.894
335.437359 73.894
335.687359 73.893
335.937359 73.893
336.187359 73.892
336.437359 73.892
336.687359 73.891
336.937359 73.891
337.187359 73.890
337.437359 73.890
337.687359 73.890
337.937359 73.889
338.187359 73.889
338.437359 73.888
338.687359 73.888
338.937359 73.887
339.187359 73.887
339.437359 73.887
339.687359 73.886
339.937359 73.886
340.187359 73.885
340.437359 73.885
340.687359 73.885
340.937359 73.884
341.187359 73.884
341.437359 73.883
341.687359 73.883
