* Measurement data measured by REW V5.20
* Source: C:\Users\ahngu\OneDrive\Headphones\IEC-711\Headphones\comptest.txt
* Format: Comma/Tab/Space delimited data
* Dated: Jan 13, 2021 7:52:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\ahngu\OneDrive\Headphones\IEC-711\Headphones\comptest.txt Format: Comma/Tab/Space delimited data 120 values loaded, 20 Hz to 19,000 Hz
* Measurement: comptest
* Smoothing: None
* Frequency Step: 1/12 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.000000, -0.002322, 0.0000
21.200001, -0.002322, 0.0000
22.400000, -0.002322, 0.0000
23.600000, -0.002322, 0.0000
25.000000, -0.002322, 0.0000
26.500000, -0.002322, 0.0000
28.000000, -0.002322, 0.0000
30.000000, -0.002322, 0.0000
31.500000, -0.002322, 0.0000
33.500000, -0.002322, 0.0000
35.500000, -0.002322, 0.0000
37.500000, -0.002322, 0.0000
40.000000, -0.002322, 0.0000
42.500000, -0.002322, 0.0000
45.000000, -0.002322, 0.0000
47.500000, -0.002322, 0.0000
50.000000, -0.002322, 0.0000
53.000000, -0.002322, 0.0000
56.000000, -0.002322, 0.0000
60.000000, -0.002322, 0.0000
63.000000, -0.002322, 0.0000
67.000000, -0.002322, 0.0000
71.000000, -0.002322, 0.0000
75.000000, -0.002322, 0.0000
80.000000, -0.002322, 0.0000
85.000000, -0.002322, 0.0000
90.000000, -0.002322, 0.0000
95.000000, -0.002322, 0.0000
100.000000, -0.002322, 0.0000
106.000000, -0.002322, 0.0000
112.000000, -0.002322, 0.0000
118.000000, -0.002322, 0.0000
125.000000, -0.002322, 0.0000
132.000000, -0.002322, 0.0000
140.000000, -0.002322, 0.0000
150.000000, -0.002322, 0.0000
160.000000, -0.002322, 0.0000
170.000000, -0.002322, 0.0000
180.000000, -0.002322, 0.0000
190.000000, -0.002322, 0.0000
200.000000, -0.002322, 0.0000
212.000000, -0.002322, 0.0000
224.000000, -0.002322, 0.0000
236.000000, -0.002322, 0.0000
250.000000, -0.002322, 0.0000
265.000000, -0.002322, 0.0000
280.000000, -0.002322, 0.0000
300.000000, -0.002322, 0.0000
315.000000, -0.002322, 0.0000
335.000000, -0.002322, 0.0000
355.000000, -0.002322, 0.0000
375.000000, -0.002322, 0.0000
400.000000, -0.002322, 0.0000
425.000000, -0.002322, 0.0000
450.000000, -0.002322, 0.0000
475.000000, -0.002322, 0.0000
500.000000, -0.002322, 0.0000
530.000000, -0.002298, 0.0000
560.000000, -0.001316, 0.0000
600.000000, 0.002387, 0.0000
630.000000, 0.009656, 0.0000
670.000000, 0.027016, 0.0000
710.000000, 0.049834, 0.0000
750.000000, 0.073474, 0.0000
800.000000, 0.104003, 0.0000
850.000000, 0.139806, 0.0000
900.000000, 0.181412, 0.0000
950.000000, 0.223872, 0.0000
1000.000000, 0.264046, 0.0000
1060.000000, 0.310951, 0.0000
1120.000000, 0.370512, 0.0000
1180.000000, 0.439539, 0.0000
1250.000000, 0.524785, 0.0000
1320.000000, 0.608115, 0.0000
1400.000000, 0.702650, 0.0000
1500.000000, 0.845032, 0.0000
1600.000000, 1.034273, 0.0000
1700.000000, 1.237873, 0.0000
1800.000000, 1.392290, 0.0000
1900.000000, 1.455608, 0.0000
2000.000000, 1.415595, 0.0000
2120.000000, 1.246099, 0.0000
2240.000000, 0.978430, 0.0000
2360.000000, 0.648916, 0.0000
2500.000000, 0.212253, 0.0000
2650.000000, -0.298803, 0.0000
2800.000000, -0.831308, 0.0000
3000.000000, -1.528298, 0.0000
3150.000000, -2.005127, 0.0000
3350.000000, -2.539116, 0.0000
3550.000000, -2.942064, 0.0000
3750.000000, -3.233225, 0.0000
4000.000000, -3.522953, 0.0000
4250.000000, -3.745159, 0.0000
4500.000000, -3.815638, 0.0000
4750.000000, -3.743043, 0.0000
5000.000000, -3.596535, 0.0000
5300.000000, -3.343626, 0.0000
5600.000000, -2.932157, 0.0000
6000.000000, -2.025164, 0.0000
6300.000000, -1.161194, 0.0000
6700.000000, -0.014064, 0.0000
7100.000000, 0.964142, 0.0000
7500.000000, 1.748480, 0.0000
8000.000000, 2.475570, 0.0000
8500.000000, 2.862163, 0.0000
9000.000000, 3.037819, 0.0000
9500.000000, 3.115485, 0.0000
10000.000000, 3.144605, 0.0000
10600.000000, 3.154390, 0.0000
11200.000000, 3.157065, 0.0000
11800.000000, 3.157002, 0.0000
12500.000000, 3.157002, 0.0000
13200.000000, 3.157002, 0.0000
14000.000000, 3.157002, 0.0000
15000.000000, 3.157002, 0.0000
16000.000000, 3.157002, 0.0000
17000.000000, 3.157002, 0.0000
18000.000000, 3.157002, 0.0000
19000.000000, 3.157002, 0.0000
